shock_pct_vs_real_2024,counterfactual_actual,consensus_no_event,uncertainty_no_event,classification_no_event,causal_score_strong_event,classification_with_strong_event,z_naive,z_linear,z_median_growth
-0.8,3799.8,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,-7.981,-7.319,-1.484
-0.6,7599.6,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,-5.963,-5.714,-1.257
-0.4,11399.4,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,-3.944,-4.109,-1.029
-0.25,14249.25,0.0,0.9656,NORMAL,0.9625,NORMAL_WITH_CONTEXT,-2.43,-2.905,-0.858
0.0,18999.0,0.0,0.9656,NORMAL,0.9625,NORMAL_WITH_CONTEXT,0.094,-0.899,-0.574
0.25,23748.75,0.0,0.9656,NORMAL,0.9625,NORMAL_WITH_CONTEXT,2.617,1.107,-0.289
0.5,28498.5,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,5.14,3.113,-0.005
0.75,33248.25,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,7.664,5.119,0.28
1.0,37998.0,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,10.187,7.125,0.564
1.5,47497.5,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,15.234,11.137,1.133
2.0,56997.0,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,20.281,15.149,1.702
3.0,75996.0,0.6667,0.9656,BLACK_SWAN_CANDIDATE,0.9625,EXPLAINED_STRUCTURAL_BREAK,30.374,23.173,2.84
