scenario_id,bucket,timestamp_utc,phase,metric,value,status,synthetic,generator_seed
normal_control,0,2026-01-05T00:00:00Z,baseline,auth_failures,103.0,complete,True,20260903
normal_control,1,2026-01-05T01:00:00Z,baseline,auth_failures,78.0,complete,True,20260903
normal_control,2,2026-01-05T02:00:00Z,baseline,auth_failures,70.0,complete,True,20260903
normal_control,3,2026-01-05T03:00:00Z,baseline,auth_failures,90.0,complete,True,20260903
normal_control,4,2026-01-05T04:00:00Z,baseline,auth_failures,80.0,complete,True,20260903
normal_control,5,2026-01-05T05:00:00Z,baseline,auth_failures,98.0,complete,True,20260903
normal_control,6,2026-01-05T06:00:00Z,baseline,auth_failures,105.0,complete,True,20260903
normal_control,7,2026-01-05T07:00:00Z,baseline,auth_failures,101.0,complete,True,20260903
normal_control,8,2026-01-05T08:00:00Z,baseline,auth_failures,117.0,complete,True,20260903
normal_control,9,2026-01-05T09:00:00Z,baseline,auth_failures,138.0,complete,True,20260903
normal_control,10,2026-01-05T10:00:00Z,baseline,auth_failures,144.0,complete,True,20260903
normal_control,11,2026-01-05T11:00:00Z,baseline,auth_failures,135.0,complete,True,20260903
normal_control,12,2026-01-05T12:00:00Z,baseline,auth_failures,164.0,complete,True,20260903
normal_control,13,2026-01-05T13:00:00Z,baseline,auth_failures,164.0,complete,True,20260903
normal_control,14,2026-01-05T14:00:00Z,baseline,auth_failures,138.0,complete,True,20260903
normal_control,15,2026-01-05T15:00:00Z,baseline,auth_failures,139.0,complete,True,20260903
normal_control,16,2026-01-05T16:00:00Z,baseline,auth_failures,152.0,complete,True,20260903
normal_control,17,2026-01-05T17:00:00Z,baseline,auth_failures,157.0,complete,True,20260903
normal_control,18,2026-01-05T18:00:00Z,baseline,auth_failures,122.0,complete,True,20260903
normal_control,19,2026-01-05T19:00:00Z,baseline,auth_failures,115.0,complete,True,20260903
normal_control,20,2026-01-05T20:00:00Z,baseline,auth_failures,145.0,complete,True,20260903
normal_control,21,2026-01-05T21:00:00Z,baseline,auth_failures,109.0,complete,True,20260903
normal_control,22,2026-01-05T22:00:00Z,baseline,auth_failures,110.0,complete,True,20260903
normal_control,23,2026-01-05T23:00:00Z,baseline,auth_failures,103.0,complete,True,20260903
normal_control,24,2026-01-06T00:00:00Z,baseline,auth_failures,92.0,complete,True,20260903
normal_control,25,2026-01-06T01:00:00Z,baseline,auth_failures,93.0,complete,True,20260903
normal_control,26,2026-01-06T02:00:00Z,baseline,auth_failures,80.0,complete,True,20260903
normal_control,27,2026-01-06T03:00:00Z,baseline,auth_failures,93.0,complete,True,20260903
normal_control,28,2026-01-06T04:00:00Z,baseline,auth_failures,93.0,complete,True,20260903
normal_control,29,2026-01-06T05:00:00Z,baseline,auth_failures,99.0,complete,True,20260903
normal_control,30,2026-01-06T06:00:00Z,baseline,auth_failures,104.0,complete,True,20260903
normal_control,31,2026-01-06T07:00:00Z,baseline,auth_failures,118.0,complete,True,20260903
normal_control,32,2026-01-06T08:00:00Z,baseline,auth_failures,137.0,complete,True,20260903
normal_control,33,2026-01-06T09:00:00Z,baseline,auth_failures,119.0,complete,True,20260903
normal_control,34,2026-01-06T10:00:00Z,baseline,auth_failures,123.0,complete,True,20260903
normal_control,35,2026-01-06T11:00:00Z,baseline,auth_failures,151.0,complete,True,20260903
normal_control,36,2026-01-06T12:00:00Z,baseline,auth_failures,153.0,complete,True,20260903
normal_control,37,2026-01-06T13:00:00Z,baseline,auth_failures,174.0,complete,True,20260903
normal_control,38,2026-01-06T14:00:00Z,baseline,auth_failures,159.0,complete,True,20260903
normal_control,39,2026-01-06T15:00:00Z,baseline,auth_failures,135.0,complete,True,20260903
normal_control,40,2026-01-06T16:00:00Z,baseline,auth_failures,144.0,complete,True,20260903
normal_control,41,2026-01-06T17:00:00Z,baseline,auth_failures,155.0,complete,True,20260903
normal_control,42,2026-01-06T18:00:00Z,baseline,auth_failures,136.0,complete,True,20260903
normal_control,43,2026-01-06T19:00:00Z,baseline,auth_failures,129.0,complete,True,20260903
normal_control,44,2026-01-06T20:00:00Z,baseline,auth_failures,100.0,complete,True,20260903
normal_control,45,2026-01-06T21:00:00Z,baseline,auth_failures,100.0,complete,True,20260903
normal_control,46,2026-01-06T22:00:00Z,baseline,auth_failures,89.0,complete,True,20260903
normal_control,47,2026-01-06T23:00:00Z,baseline,auth_failures,101.0,complete,True,20260903
normal_control,48,2026-01-07T00:00:00Z,target,auth_failures,84,complete,True,20260903
normal_control,0,2026-01-05T00:00:00Z,baseline,unique_failed_accounts,28.0,complete,True,20260903
normal_control,1,2026-01-05T01:00:00Z,baseline,unique_failed_accounts,29.0,complete,True,20260903
normal_control,2,2026-01-05T02:00:00Z,baseline,unique_failed_accounts,25.0,complete,True,20260903
normal_control,3,2026-01-05T03:00:00Z,baseline,unique_failed_accounts,27.0,complete,True,20260903
normal_control,4,2026-01-05T04:00:00Z,baseline,unique_failed_accounts,32.0,complete,True,20260903
normal_control,5,2026-01-05T05:00:00Z,baseline,unique_failed_accounts,27.0,complete,True,20260903
normal_control,6,2026-01-05T06:00:00Z,baseline,unique_failed_accounts,32.0,complete,True,20260903
normal_control,7,2026-01-05T07:00:00Z,baseline,unique_failed_accounts,26.0,complete,True,20260903
normal_control,8,2026-01-05T08:00:00Z,baseline,unique_failed_accounts,34.0,complete,True,20260903
normal_control,9,2026-01-05T09:00:00Z,baseline,unique_failed_accounts,33.0,complete,True,20260903
normal_control,10,2026-01-05T10:00:00Z,baseline,unique_failed_accounts,40.0,complete,True,20260903
normal_control,11,2026-01-05T11:00:00Z,baseline,unique_failed_accounts,38.0,complete,True,20260903
normal_control,12,2026-01-05T12:00:00Z,baseline,unique_failed_accounts,39.0,complete,True,20260903
normal_control,13,2026-01-05T13:00:00Z,baseline,unique_failed_accounts,36.0,complete,True,20260903
